iter	Logloss
0	0.6867215086
1	0.6810476394
2	0.6762543122
3	0.6706577118
4	0.6655334731
5	0.659474723
6	0.6543031972
7	0.6494503698
8	0.6446403721
9	0.6393735026
10	0.6336258719
11	0.6289425851
12	0.6242596637
13	0.6202655021
14	0.616270489
15	0.6122397909
16	0.6082859155
17	0.605548122
18	0.6014224253
19	0.5974441254
20	0.5937605128
21	0.589390287
22	0.5858667084
23	0.5820980028
24	0.578506666
25	0.5758881337
26	0.57201344
27	0.5678115286
28	0.5648108104
29	0.5616498636
30	0.5575623703
31	0.5542039934
32	0.5506247398
33	0.5476739549
34	0.5449840277
35	0.5426134592
36	0.5395168835
37	0.5359569948
38	0.5344221453
39	0.5324871654
40	0.5296008399
41	0.5265469054
42	0.5236568514
43	0.5207038487
44	0.5179238773
45	0.5152849008
46	0.5128511133
47	0.5106996517
48	0.5085013521
49	0.5065834144
50	0.5041959031
51	0.5025081816
52	0.5012604682
53	0.4990846743
54	0.4966396473
55	0.4950390315
56	0.4930131671
57	0.4911291854
58	0.489440599
59	0.4876535812
60	0.4858020806
61	0.4843741926
62	0.4825366175
63	0.4804511605
64	0.4788425645
65	0.4777022363
66	0.4758899371
67	0.4739368487
68	0.4731507408
69	0.4708797643
70	0.4694734282
71	0.4680489908
72	0.4663058473
73	0.4654371711
74	0.4641383258
75	0.4628688882
76	0.461490936
77	0.460648822
78	0.4593745156
79	0.4584419334
80	0.4573354004
81	0.4561788432
82	0.4551384026
83	0.4533591571
84	0.4513468024
85	0.4504057073
86	0.4494245495
87	0.4477862575
88	0.4462228186
89	0.4450835457
90	0.4438709251
91	0.4430915123
92	0.442538898
93	0.4411145466
94	0.4398766251
95	0.4393638993
96	0.4377956456
97	0.4361337231
98	0.4346084194
99	0.4335281835
100	0.4322837954
101	0.4308583739
102	0.4299016806
103	0.4287818293
104	0.4276437247
105	0.4265694008
106	0.4260296734
107	0.4252184878
108	0.4242007721
109	0.4229517382
110	0.422409401
111	0.4217494514
112	0.4205304124
113	0.4191006315
114	0.4183583529
115	0.4178820156
116	0.4165341505
117	0.415899794
118	0.4154567248
119	0.4148180506
120	0.4140999943
121	0.4136030871
122	0.4131514974
123	0.4124235193
124	0.4117203387
125	0.4107178475
126	0.4103159733
127	0.409794803
128	0.4085716316
129	0.4080717259
130	0.4075051149
131	0.4066670652
132	0.4057879317
133	0.4047808657
134	0.4039729192
135	0.4033464328
136	0.4023299359
137	0.4019509795
138	0.4013421643
