iter	Passed	Remaining
0	2	2580
1	4	2387
2	7	2387
3	9	2382
4	11	2358
5	13	2314
6	16	2290
7	18	2262
8	20	2209
9	22	2185
10	24	2166
11	26	2151
12	28	2137
13	30	2151
14	34	2236
15	37	2321
16	41	2374
17	44	2434
18	47	2427
19	49	2448
20	52	2452
21	54	2436
22	57	2432
23	60	2444
24	62	2448
25	65	2462
26	68	2458
27	70	2460
28	73	2474
29	76	2475
30	78	2459
31	80	2443
32	82	2427
33	84	2413
34	87	2400
35	88	2381
36	90	2360
37	92	2337
38	93	2304
39	95	2293
40	97	2279
41	99	2269
42	101	2259
43	103	2249
44	105	2248
45	107	2230
46	108	2207
47	110	2192
48	112	2186
49	114	2175
50	116	2163
51	117	2148
52	119	2131
53	120	2118
54	122	2101
55	123	2082
56	125	2074
57	126	2060
58	127	2041
59	129	2030
60	130	2007
61	132	1998
62	133	1978
63	133	1958
64	134	1937
65	135	1921
66	136	1901
67	137	1882
68	138	1866
69	139	1847
70	139	1829
71	140	1812
72	141	1796
73	142	1780
74	143	1764
75	143	1748
76	144	1733
77	145	1718
78	146	1703
79	146	1689
80	147	1675
81	148	1662
82	149	1650
83	150	1637
84	150	1624
85	151	1612
86	152	1600
87	153	1589
88	154	1577
89	154	1565
90	155	1554
91	156	1543
92	157	1532
93	157	1521
94	158	1511
95	159	1500
96	160	1491
97	160	1481
98	161	1472
99	162	1463
100	163	1454
101	164	1446
102	165	1437
103	165	1428
104	166	1419
105	167	1411
106	168	1402
107	168	1394
108	169	1387
109	170	1379
110	171	1371
111	171	1363
112	172	1356
113	173	1348
114	174	1341
115	175	1334
116	175	1328
117	176	1321
118	177	1314
119	178	1307
120	179	1301
121	180	1295
122	180	1288
123	181	1282
124	182	1276
125	183	1270
126	183	1263
127	184	1257
128	185	1251
129	186	1246
130	187	1240
131	187	1234
132	188	1228
133	189	1223
134	190	1218
135	190	1213
136	191	1207
137	192	1202
138	193	1197
139	194	1192
140	194	1187
141	195	1182
142	196	1177
143	197	1172
144	198	1167
145	198	1162
146	199	1158
147	200	1154
148	201	1149
149	202	1145
150	203	1142
151	204	1138
152	204	1134
153	205	1129
154	206	1125
155	207	1120
156	207	1116
157	208	1113
158	209	1109
159	210	1104
160	211	1100
161	211	1096
162	212	1092
163	213	1088
164	214	1084
165	215	1080
166	215	1076
167	216	1072
168	217	1068
169	218	1064
170	218	1061
171	219	1057
172	220	1053
173	221	1050
174	221	1046
175	222	1042
176	223	1039
177	224	1035
178	224	1031
179	225	1028
180	226	1024
181	227	1021
182	227	1017
183	228	1014
184	229	1011
185	230	1007
186	230	1004
187	231	1000
188	232	997
189	233	994
190	234	991
191	234	988
192	235	985
193	236	982
194	237	979
195	238	976
196	238	973
197	239	971
198	240	968
199	241	965
200	242	962
201	242	959
202	243	956
203	244	953
204	245	950
205	245	947
206	246	944
207	247	942
208	247	937
209	248	934
210	249	932
211	250	929
212	250	926
213	251	924
214	252	921
215	253	918
216	253	916
217	254	913
218	255	910
219	256	908
220	256	905
221	257	903
222	258	900
223	259	898
224	259	895
225	260	893
226	261	890
227	262	888
228	263	885
229	263	883
230	264	880
231	265	878
232	266	875
233	266	873
234	267	871
235	268	868
236	269	866
237	270	864
238	270	862
239	271	860
240	272	858
241	273	855
242	273	853
243	274	851
244	275	849
245	276	846
246	277	844
247	277	842
248	278	840
249	279	838
250	280	836
251	280	834
252	281	831
253	282	829
254	283	827
255	284	825
256	284	823
257	285	821
258	286	819
259	287	817
260	288	815
261	288	813
262	289	811
263	290	809
264	291	807
265	291	805
266	292	803
267	293	801
268	294	799
269	294	797
270	295	795
271	296	793
272	297	791
273	298	789
274	298	787
275	299	786
276	300	784
277	301	782
278	302	780
279	302	778
280	303	777
281	304	775
282	305	773
283	306	772
284	307	770
285	307	768
286	308	766
287	309	764
288	310	763
289	310	761
290	311	759
291	312	757
292	313	756
293	314	754
294	314	752
295	315	750
296	316	748
297	317	747
298	317	745
299	318	743
300	319	741
301	320	740
302	320	738
303	321	736
304	322	734
305	323	733
306	323	731
307	324	730
308	325	728
309	326	727
310	327	726
311	328	724
312	329	723
313	330	721
314	331	719
315	331	718
316	332	716
317	333	715
318	334	713
319	335	712
320	335	710
321	336	709
322	337	707
323	338	705
324	339	704
325	339	702
326	340	701
327	341	699
328	342	697
329	342	696
330	343	694
331	344	692
332	345	691
333	345	689
334	346	688
335	347	686
336	348	685
337	349	683
338	350	682
339	350	681
340	351	679
341	352	678
342	353	676
343	353	675
344	354	673
345	355	671
346	356	670
347	357	669
348	357	667
349	358	665
350	359	664
351	360	663
352	360	661
353	361	660
354	362	658
355	363	657
356	364	655
357	364	654
358	365	652
359	366	651
360	367	650
361	368	648
362	369	647
363	369	646
364	370	644
365	371	643
366	372	641
367	372	640
368	373	639
369	374	637
370	375	636
371	376	634
372	376	633
373	377	631
374	378	630
375	379	629
376	379	627
377	380	626
378	381	624
379	382	623
380	382	622
381	383	620
382	384	619
383	385	617
384	386	616
385	386	615
386	387	613
387	388	612
388	389	611
389	390	610
390	390	608
391	391	607
392	392	605
393	393	604
394	393	603
395	394	601
396	395	600
397	396	599
398	397	598
399	397	596
400	398	595
401	399	594
402	400	592
403	401	591
404	401	590
405	402	589
406	403	587
407	404	586
408	404	585
409	405	583
410	406	582
411	407	581
412	408	580
413	408	578
414	409	577
415	410	576
416	411	574
417	411	573
418	412	572
419	413	571
420	414	569
421	415	568
422	415	567
423	416	566
424	417	564
425	418	563
426	419	562
427	419	561
428	420	559
429	421	558
430	422	557
431	422	556
432	423	554
433	424	553
434	425	552
435	426	551
436	426	549
437	427	548
438	428	547
439	429	546
440	429	544
441	430	543
442	431	542
443	432	541
444	432	539
445	433	538
446	434	537
447	435	536
448	435	534
449	436	533
450	437	532
451	438	531
452	439	530
453	439	528
454	440	527
455	441	526
456	442	525
457	442	524
458	443	522
459	444	521
460	445	520
461	445	519
462	446	518
463	447	517
464	448	515
465	449	514
466	450	513
467	450	512
468	451	511
469	452	510
470	453	508
471	453	507
472	454	506
473	455	505
474	456	504
475	456	503
476	457	501
477	458	500
478	459	499
479	460	498
480	460	497
481	461	496
482	462	495
483	463	493
484	464	492
485	464	491
486	465	490
487	466	489
488	467	488
489	468	487
490	468	486
491	469	484
492	470	483
493	471	482
494	471	481
495	472	480
496	473	479
497	474	478
498	475	476
499	475	475
500	476	474
501	477	473
502	478	472
503	479	471
504	479	470
505	480	469
506	481	468
507	482	467
508	482	465
509	483	464
510	484	463
511	485	462
512	486	461
513	487	460
514	487	459
515	488	458
516	489	457
517	489	455
518	490	454
519	491	453
520	492	452
521	493	451
522	493	450
523	494	449
524	495	448
525	496	447
526	497	446
527	498	445
528	498	444
529	499	443
530	500	441
531	501	440
532	501	439
533	502	438
534	503	437
535	504	436
536	504	435
537	505	434
538	506	433
539	507	431
540	507	430
541	508	429
542	509	428
543	510	427
544	510	426
545	511	425
546	512	424
547	513	423
548	514	422
549	514	421
550	515	420
551	516	419
552	517	418
553	517	416
554	518	415
555	519	414
556	520	413
557	521	412
558	521	411
559	522	410
560	523	409
561	524	408
562	525	407
563	526	406
564	526	405
565	527	404
566	528	403
567	529	402
568	530	401
569	531	400
570	531	399
571	532	398
572	533	397
573	534	396
574	535	395
575	535	394
576	536	393
577	537	392
578	538	391
579	539	390
580	539	389
581	540	388
582	541	387
583	542	386
584	543	385
585	544	384
586	544	383
587	545	382
588	546	381
589	547	380
590	548	379
591	548	378
592	549	377
593	550	376
594	551	375
595	551	374
596	552	373
597	553	372
598	554	371
